Toan,Ly,Hoa,Anh,Result
3.683704798044687,8.331337307301023,7.549747515444356,6.002958191625129,Fail
7.789631185585098,4.6634628079467975,7.913768140803923,8.256097474540482,Pass
6.081067456177209,8.097514440283017,8.570548686052707,8.281800118592777,Pass
3.8542676439134516,5.574481929034773,9.230037392722963,3.7218670818515283,Fail
6.466238370778891,7.4261408141550564,5.365966097960751,9.317870346756965,Pass
3.2407196478065288,7.434707975326263,5.629080668479608,6.536766607135,Fail
9.365242814551475,6.750422788523309,3.657873578886083,8.785202262754192,Pass
4.811459871200118,3.6320283903808583,7.047960986973218,5.240347207214282,Fail
7.637655990477874,8.847117469124665,3.2515959165771946,9.268662599473403,Pass
5.181977532625877,5.245460454802151,6.259186126927221,5.724411751139142,Fail
6.640476148244676,4.3056295727989795,6.798512442953037,3.0758635603620883,Fail
6.826971955402957,3.2854259908833474,5.005788764897991,9.337673834934845,Fail
4.293981188678689,7.136250602317693,7.135832823983075,3.639006737502935,Fail
9.787092394351909,7.742950532895977,3.213501749573346,5.235195463132904,Fail
8.425929763527801,3.116114802494993,3.261437321244501,9.650433769355635,Fail
9.576492590949325,6.584651408094967,8.758203924617607,9.654250028562892,Pass
9.26379145299354,4.585470426385566,5.52133448987884,7.014065216863003,Pass
7.185299851677596,7.516209532866149,3.8894235885631936,7.422860485188595,Pass
9.453119645161818,4.22056500303494,6.655702820383631,6.1391186538482385,Pass
3.6194475143634364,7.836564166717261,8.389954871690275,5.0524754018864515,Fail
4.371880036934016,5.707147424103762,4.510747192477902,5.3006518175894115,Fail
3.3165910223737667,9.557109921157142,7.360233330733002,7.707629192539269,Pass
5.277312315342851,3.9626466090219528,3.597432254956376,8.26662170606376,Fail
5.720741027826374,5.387464457351809,3.3617720481802538,8.54105330608094,Fail
4.899443222417272,3.7943146486841233,6.719482420977036,8.527326999561877,Fail
8.801162564063505,9.47285532794994,6.784445851270746,3.638442721340833,Pass
5.497273286855124,9.141375473666868,7.462009310487446,6.4609421329180705,Pass
4.966541567811666,4.80559139400609,8.08263933605863,3.4029113201165098,Fail
6.798872582107739,7.6198883222392535,9.830964556237742,6.846702176266149,Pass
3.9864695748233387,8.720555401408511,6.614102438108367,6.090713509613639,Fail
8.615378865278277,6.886405681196236,5.260695310588722,9.213929279308099,Pass
3.521854505758396,6.707554048492046,8.566303363380925,5.456405087864551,Fail
9.908208556203622,4.692966036303162,4.895825758834519,3.819469114993241,Fail
8.405713385076602,3.6517193746412944,6.072799944939453,4.000941774369851,Fail
4.391009770739207,9.280510305673287,3.549194669395862,8.330574422022305,Fail
3.038654819865217,9.302926400143313,3.1774552039082025,7.327526443213827,Fail
8.708229999183839,7.4317102009128755,9.738538902745475,3.7078587328595316,Pass
7.94800140693332,5.373208537340904,8.851860843585442,3.5887476428049823,Fail
8.10305017628691,5.4444670222886264,7.871819442655886,7.90678392021384,Pass
8.39889242680162,8.081689752091677,5.862670610899889,3.5093410445493545,Fail
3.5183125621386324,9.279771819668039,4.2130602404959205,8.753020415032493,Fail
5.509260099809908,9.209604969855821,4.095059298697603,7.943695590095474,Pass
3.811083416675908,8.459128821003368,4.751700287152167,3.5694414644932984,Fail
9.041723981129156,7.494221523080014,6.844586652942843,3.593863998596343,Pass
7.363086887792905,3.588979754965342,8.002171458900436,9.90647704950823,Pass
5.316286173968544,4.131400998662296,7.621381637024119,5.619895570292842,Fail
3.4449084520021653,9.289879319689554,4.9595372786216,5.594495029468236,Fail
5.176876252009635,7.24500341761713,9.684056964642359,8.68959697080252,Pass
5.276283254187229,3.0643793613164076,8.165278416870379,9.63074004168701,Pass
8.107243248366448,3.7103008000622246,6.880478367579805,9.902007446760097,Pass
7.462902299486492,7.644512383756391,7.282045223640465,8.273647296812591,Pass
9.210489198034285,3.0354310869235306,5.937200436994529,5.63381709871641,Fail
6.305504476133645,4.125656359922491,4.7341169265081025,3.5845050168906814,Fail
3.8371597215681117,6.841136525566103,5.491808750558831,8.440028411492058,Fail
7.992713510560965,7.843266383848853,8.304922773250585,6.9088297481506356,Pass
8.325495340318282,7.5637288165182035,3.100754420408291,5.969554064728834,Fail
6.9289403829864735,4.569885166223918,3.8125084835484135,9.344480695663151,Fail
8.396770259681926,7.985254549432751,3.3220184941522692,3.7783823761430595,Fail
6.456569174550735,4.6607436124776,3.285101616232791,6.448375730036014,Fail
6.659129805673958,5.277797887114874,8.98822408807705,3.0794755133719334,Fail
5.992787128509848,8.225439835826169,7.925605015660166,6.280624493958884,Pass
3.1779338872086664,7.547430293330502,6.319216803611276,3.3941229297728617,Fail
3.7552399889531314,8.944563873459245,3.6848391245570102,3.8317254138765033,Fail
3.22000429980714,7.603290246102404,6.441311125817826,3.8226837274397343,Fail
7.454872878846463,6.9781602233483015,6.31430239546396,7.544472114812445,Pass
5.200491867534287,3.655723374796647,4.212413089370106,8.222314154857962,Fail
6.559994838152919,5.5740106214160345,6.036961544665811,7.083581355680117,Fail
9.352965317482651,4.856416573772078,5.789533140781614,9.735207839321793,Pass
4.745045604042124,4.707927503653585,7.310950686365516,5.624094056665928,Fail
5.872680461249408,9.81107388326712,7.445655556073507,4.999984603973025,Pass
8.288857969801342,5.751684072667323,3.317128068404312,9.080193897326222,Pass
4.601587158441357,9.244325886239793,5.622288302385298,4.565170869636169,Fail
3.538859368801551,7.41797038198084,7.381019409999655,9.74255777608428,Pass
5.028260170396376,8.56367912479154,6.521953810060614,3.0850813228287146,Fail
4.1285490107780305,6.518459651736345,8.995428888318255,9.789151786953473,Pass
9.50788356639801,7.038327192384513,7.610855421332615,3.302119383654033,Pass
8.656842656950918,6.447623856732047,4.140540989570008,9.238001795886497,Pass
7.433826295572964,4.366700914586311,3.493981231803009,6.6939077636040984,Fail
9.100224131314024,8.057164806830537,7.49693494744421,9.950753572835103,Pass
8.625704538293801,4.965406537085991,3.1855791737913526,3.5165759531477923,Fail
4.3059904122022505,3.170211765020177,7.100429068914243,6.876979990809246,Fail
9.247912989429844,7.518306071350175,9.581611689974704,9.785117749333693,Pass
6.775395693409555,4.239774755849343,7.0283192451311525,6.661684909191042,Fail
